,ZipCode,City,State,Latitude,Longitude,Metro,CountyName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,Latitude,Longitude
10,55125,Woodbury,MN,44.92317,-92.9588282,Minneapolis-St. Paul-Bloomington,Washington County,1317,249100.0,250200.0,251100.0,251500.0,252800.0,255300.0,257100.0,257400.0,257200.0,257100.0,257100.0,257700.0,258800.0,259400.0,259900.0,261000.0,262200.0,262700.0,263500,265100,267000,268700,269500,270000,271600,274200,276300,276700,276100,275900,276200,276400,276900,277900,278600,278600,279400,282000,285300,288000,289900,291300,291600,291400,291300,292100,293900,295700,296800,297600,298400,299100,300500,302300,303200,303300,304300,306800,309100,311000,313300,315200,44.92317,-92.9588282
11,55117,Saint Paul,MN,44.9504037,-93.1015026,Minneapolis-St. Paul-Bloomington,Ramsey County,1475,148000.0,148200.0,150000.0,152600.0,154700.0,156200.0,157200.0,157700.0,158200.0,158800.0,159100.0,159000.0,159300.0,160100.0,161100.0,161900.0,162800.0,163800.0,165400,167500,169000,169500,169700,169600,169400,169800,170500,171100,172100,173200,174400,176000,177600,179100,180200,181500,183700,185700,186800,187700,189400,191500,193200,194600,196400,197300,197300,198000,199500,200300,201100,202400,203400,203500,203700,203800,204000,205100,207500,209700,211900,213500,44.9504037,-93.1015026
12,55304,Andover,MN,45.2332985,-93.2913405,Minneapolis-St. Paul-Bloomington,Anoka County,1544,234800.0,235100.0,235800.0,237300.0,238600.0,239000.0,238800.0,239300.0,240100.0,240400.0,239700.0,239000.0,239400.0,240800.0,243300.0,246800.0,250300.0,252500.0,253800,254300,254400,254300,255100,255300,254900,254800,255600,256400,257600,260300,263600,265900,268100,270800,273800,276800,279200,280900,283100,285200,286200,285900,285500,286300,287600,287600,287400,287800,289800,292500,294900,297200,299500,300700,301200,302300,304400,306900,309200,311600,314200,316100,45.2332985,-93.2913405
13,55406,Minneapolis,MN,44.9772995,-93.2654692,Minneapolis-St. Paul-Bloomington,Hennepin County,1555,186300.0,186500.0,187600.0,188900.0,189800.0,189800.0,189400.0,188800.0,188300.0,187600.0,187200.0,186900.0,187000.0,187600.0,189200.0,191500.0,193100.0,194100.0,195400,197200,198600,200000,201500,203000,204700,206800,208600,210100,211900,214500,216600,217700,218800,220300,221500,223100,224600,225600,227000,229500,231800,233900,236200,237900,239200,240900,242900,244600,246900,249400,251600,253100,253900,254300,254400,255200,256600,257700,258900,260500,261600,262300,44.9772995,-93.2654692
14,55379,Shakopee,MN,44.7980186,-93.5268986,Minneapolis-St. Paul-Bloomington,Scott County,1596,198000.0,200900.0,206600.0,211100.0,213300.0,214400.0,213700.0,212200.0,211500.0,210600.0,210500.0,211400.0,212700.0,213800.0,214800.0,215900.0,217800.0,220100.0,221500,222900,224600,225700,226900,228700,230200,231300,232500,234000,235500,237200,238400,238500,238500,239300,240200,241000,242400,244300,246000,247500,248500,248600,248700,249900,251600,252500,253000,253500,255000,257200,258600,259200,259000,258600,258500,259300,260500,262500,264700,266600,268700,270900,44.7980186,-93.5268986
15,55110,White Bear Lake,MN,45.0838098,-93.0069304,Minneapolis-St. Paul-Bloomington,Ramsey County,1639,195800.0,196700.0,198800.0,201500.0,203600.0,205300.0,207000.0,208300.0,209000.0,208900.0,208300.0,207400.0,207400.0,208100.0,208500.0,208800.0,209700.0,211100.0,212400,213200,213700,214000,214500,214700,215100,215800,216500,217200,218100,218900,220400,223400,227300,230100,231700,233500,236100,238100,239300,241000,243400,245700,247200,248700,250100,251100,251500,252200,253600,254700,255400,256100,256300,255600,255700,256200,256700,257900,259500,260800,262000,263200,45.0838098,-93.0069304
16,55119,Saint Paul,MN,44.9504037,-93.1015026,Minneapolis-St. Paul-Bloomington,Ramsey County,1687,147400.0,147900.0,149000.0,150900.0,152700.0,154000.0,155100.0,156000.0,156800.0,157300.0,157700.0,157700.0,158300.0,159400.0,160400.0,160800.0,161200.0,161900.0,163000,164400,165500,166200,166500,166100,165900,166200,166900,167200,167800,169000,171100,173900,176900,179200,180600,182500,184900,186600,187200,187800,189200,191300,192800,193400,194300,195300,196200,197600,199500,201300,202900,204600,206000,206000,206300,207300,208000,208500,209500,210700,211800,212700,44.9504037,-93.1015026
17,55423,Richfield,MN,44.8766431,-93.2877877,Minneapolis-St. Paul-Bloomington,Hennepin County,1743,174900.0,175800.0,178100.0,180700.0,182600.0,183900.0,185000.0,186100.0,186400.0,185800.0,185300.0,185500.0,186200.0,187300.0,189000.0,191100.0,193100.0,194900.0,196600,198100,199100,200400,202300,204200,205600,207500,209600,211000,211800,212800,213700,214400,215400,216800,218400,220000,221600,222900,224000,225500,227300,229500,231400,232800,233800,234800,235900,236900,238200,240000,241800,243600,244800,245400,245900,246700,247500,248300,249200,250600,252300,253600,44.8766431,-93.2877877
18,55369,Maple Grove,MN,45.0759797,-93.4561052,Minneapolis-St. Paul-Bloomington,Hennepin County,1922,212000.0,212900.0,215000.0,217700.0,219900.0,220500.0,220600.0,221100.0,221400.0,220700.0,220300.0,220500.0,220900.0,221500.0,222500.0,223500.0,223600.0,223500.0,223500,223600,223800,224800,225800,226900,228400,230300,232500,234200,235900,237300,238600,240200,241800,242600,243100,244400,245700,246600,247400,248800,250500,252100,252900,252800,252600,253000,253900,255100,256900,258600,260300,262000,262800,263100,264200,265500,266700,268200,269800,271400,273000,274100,45.0759797,-93.4561052
19,55330,Elk River,MN,45.3038538,-93.5671825,Minneapolis-St. Paul-Bloomington,Sherburne County,1958,178000.0,179800.0,181100.0,183000.0,185200.0,186600.0,187700.0,188900.0,190200.0,191200.0,191700.0,192100.0,193200.0,195400.0,198100.0,201300.0,203900.0,205100.0,205600,206500,207800,209400,210700,212200,213800,215500,217300,218600,219100,219900,221600,222900,224000,225100,226000,227300,229700,232100,234100,235400,236400,238100,240100,241000,241200,241200,241200,241700,242800,244000,244800,246000,247700,248900,249600,250800,252600,254900,257300,259700,262500,264600,45.3038538,-93.5671825
